"","cell_id","group"
"acdmlhoj-1","acdmlhoj-1","Late Myeloid"
"acdnmbie-1","acdnmbie-1","Late Myeloid"
"acdobgao-1","acdobgao-1","Mature B"
"acedohao-1","acedohao-1","Late Erythroid"
"aceedjmp-1","aceedjmp-1","Not-mapped"
"aceglape-1","aceglape-1","Not-mapped"
"acekpdbi-1","acekpdbi-1","Not-mapped"
"acenobjd-1","acenobjd-1","Not-mapped"
"aceockke-1","aceockke-1","Not-mapped"
"acepinjg-1","acepinjg-1","Adipo-MSC"
"aceplkgh-1","aceplkgh-1","Not-mapped"
"acfaccjf-1","acfaccjf-1","Not-mapped"
"acfbakmb-1","acfbakmb-1","Not-mapped"
"acfbcjbe-1","acfbcjbe-1","Not-mapped"
"acfblmlf-1","acfblmlf-1","Not-mapped"
"acfdemgm-1","acfdemgm-1","Not-mapped"
"acfdfllc-1","acfdfllc-1","Not-mapped"
"acfdmbko-1","acfdmbko-1","Not-mapped"
"acfeihal-1","acfeihal-1","Not-mapped"
"acfiiiam-1","acfiiiam-1","Not-mapped"
"acfoapfg-1","acfoapfg-1","Not-mapped"
"acfonggd-1","acfonggd-1","Not-mapped"
"acfppdec-1","acfppdec-1","Not-mapped"
"acfppeba-1","acfppeba-1","Not-mapped"
"acgbhddf-1","acgbhddf-1","Not-mapped"
"acgejepp-1","acgejepp-1","GMP"
"acgfdplm-1","acgfdplm-1","Not-mapped"
"acgghgmp-1","acgghgmp-1","Not-mapped"
"acgglhfh-1","acgglhfh-1","Adipo-MSC"
"acghedjm-1","acghedjm-1","Not-mapped"
"acgibpnc-1","acgibpnc-1","Not-mapped"
"acgjcdod-1","acgjcdod-1","Not-mapped"
"acgkfekl-1","acgkfekl-1","Not-mapped"
"acgknghn-1","acgknghn-1","Not-mapped"
"acglalme-1","acglalme-1","Not-mapped"
"acgnineg-1","acgnineg-1","Not-mapped"
"acgockmn-1","acgockmn-1","Early Myeloid Progenitor"
"acgpfjeo-1","acgpfjeo-1","Early Myeloid Progenitor"
"achbndpg-1","achbndpg-1","Not-mapped"
"achfioli-1","achfioli-1","Not-mapped"
"achggfle-1","achggfle-1","Late Myeloid"
"achhcema-1","achhcema-1","Late Myeloid"
"achjkdgi-1","achjkdgi-1","Not-mapped"
"achkhlkn-1","achkhlkn-1","Not-mapped"
"achkpdgh-1","achkpdgh-1","Late Myeloid"
"achmgjaf-1","achmgjaf-1","Not-mapped"
"achmpdop-1","achmpdop-1","Not-mapped"
"achodngp-1","achodngp-1","CD8+ T-Cell"
"aciblbbg-1","aciblbbg-1","Not-mapped"
"acibpkeh-1","acibpkeh-1","Not-mapped"
"acicfpnk-1","acicfpnk-1","Not-mapped"
"acidkkdk-1","acidkkdk-1","Not-mapped"
"acieencd-1","acieencd-1","Not-mapped"
"acifnehh-1","acifnehh-1","Monocyte"
"acilfdpo-1","acilfdpo-1","Late Erythroid"
"acimiepf-1","acimiepf-1","Not-mapped"
"aciojpdg-1","aciojpdg-1","Not-mapped"
"acipekoo-1","acipekoo-1","Not-mapped"
