"","cell_id","group"
"abnoglfd-1","abnoglfd-1","Uk"
"abnpekkj-1","abnpekkj-1","Proliferating cells"
"abnppknl-1","abnppknl-1","Uk"
"aboaangm-1","aboaangm-1","Uk"
"aboafonn-1","aboafonn-1","Proliferating cells"
"abodiacp-1","abodiacp-1","Uk"
"abogegeo-1","abogegeo-1","Uk"
"aboimgde-1","aboimgde-1","Uk"
"abokknee-1","abokknee-1","Proliferating cells"
"abolcgho-1","abolcgho-1","Proliferating cells"
"abonaagd-1","abonaagd-1","Uk"
"abonndip-1","abonndip-1","Osteoblast"
"aboomoif-1","aboomoif-1","Uk"
"abopmoek-1","abopmoek-1","Uk"
"abopncbo-1","abopncbo-1","Uk"
"abpajfmj-1","abpajfmj-1","Uk"
"abpammjg-1","abpammjg-1","Uk"
"abpcgbdj-1","abpcgbdj-1","Uk"
"abpdalnn-1","abpdalnn-1","Uk"
"abpdhajg-1","abpdhajg-1","Myeloid progenitors"
"abpfdcid-1","abpfdcid-1","Uk"
"abpibkfb-1","abpibkfb-1","Uk"
"abpkdphg-1","abpkdphg-1","Uk"
