cell_id,group
adfoglag-1,Late Myeloid
adfoldei-1,Late Myeloid
adfphnee-1,THY1+ MSC
adgcabpf-1,Neutrophil
adgdfcje-1,GMP
adgdkjeo-1,GMP
adghipel-1,GMP
adghlfnp-1,Pre-Pro B
adgjbojh-1,Neutrophil
adgmhbee-1,Cycling HSPC
adgogfcn-1,Pro-B
adgogjho-1,Early Myeloid Progenitor
adgokeln-1,CD4+ T-Cell
adgpldlf-1,Osteo-MSC
adgpomal-1,Adipo-MSC
adhaekhp-1,Neutrophil
adhakeoo-1,CD8+ T-Cell
adhbakhb-1,Neutrophil
adhbdbok-1,Ba/Eo/Ma
adhccgof-1,Adipo-MSC
adhdcpni-1,Ba/Eo/Ma
adhefcab-1,GMP
adhehggb-1,RBC
adhfkllp-1,Osteo-MSC
adhhhnhm-1,RBC
adhkfmib-1,AEC
adhkjadl-1,Macrophages
adhlbmhk-1,Erythroblast
adhlicmp-1,CD8+ T-Cell
adhlnago-1,GMP
adhopgpm-1,HSC
adhpegeh-1,Fibro-MSC
adidekog-1,Late Myeloid
adiehfaa-1,Monocyte
adiemfjp-1,CD4+ T-Cell
adihdjba-1,CD8+ T-Cell
adijceoj-1,Pro-B
adikibdi-1,Fibro-MSC
adikifaa-1,Monocyte
adikiofg-1,Pro-B
adilcjaa-1,Ba/Eo/Ma
adillgbe-1,GMP
adimeoko-1,Fibro-MSC
adincjmh-1,Late Myeloid
adioejba-1,Late Myeloid
adioomkj-1,SEC
adjfegba-1,GMP
adjfeknm-1,GMP
adjgpied-1,HSC
adjjnbbd-1,CLP
adjjopia-1,pDC
adjjpabg-1,RBC
adjkeiek-1,Late Myeloid
adjkknpk-1,Late Myeloid
adjlaich-1,Plasma Cell
adjlnlao-1,Late Myeloid
adjmgnib-1,CLP
adjmnjfa-1,Late Myeloid
adjnddlm-1,Early Myeloid Progenitor
adjngebl-1,Pro-B
adjoljlk-1,Fibro-MSC
adjpcnlj-1,Ba/Eo/Ma
adjpkjlj-1,Pre-B
adkagfgb-1,RBC
adkapffo-1,APOD+ MSC
adkcimff-1,Pre-Pro B
adkcncdm-1,Early Myeloid Progenitor
adkdbkgl-1,Osteo-MSC
adkdhiff-1,Fibro-MSC
adkdpjbp-1,Pro-B
adkhhlom-1,Monocyte
adkibfho-1,Monocyte
adkidpph-1,Late Erythroid
adkjhjkc-1,Osteo-MSC
adkjicoa-1,Ba/Eo/Ma
adklbhod-1,Late Myeloid
adkmpcep-1,Mature B
adkoodjp-1,CD4+ T-Cell
adkopbbc-1,Late Myeloid
adkpaiaa-1,Plasma Cell
adkphdgb-1,Late Myeloid
adlajapn-1,Osteoblast
adlbedma-1,Pro-B
adlbhjac-1,Late Myeloid
adldbaco-1,THY1+ MSC
adlecaoh-1,Fibro-MSC
adlfkgmc-1,THY1+ MSC
adlfmgke-1,Mature B
adlgpjcm-1,Pro-B
adlhfdon-1,Neutrophil
adljeenf-1,Late Erythroid
adljioff-1,RBC
adlkgmhe-1,Late Erythroid
adlkmaig-1,Fibro-MSC
adllfkmm-1,GMP
adllklji-1,THY1+ MSC
adlmoodb-1,Fibro-MSC
adlndkje-1,Late Myeloid
adlpbalo-1,CD8+ T-Cell
adlpbebl-1,Late Myeloid
adlpccmi-1,Pro-B
admaffng-1,Fibro-MSC
admbbfbc-1,RBC
admckikl-1,RBC
admcoeja-1,Cycling HSPC
admdaghc-1,MEP
admdemdn-1,Osteo-MSC
admeglia-1,RBC
admfdkje-1,pDC
admhbakc-1,Adipo-MSC
admhclch-1,APOD+ MSC
admiakol-1,Pre-Pro B
admihhkd-1,Plasma Cell
admilbia-1,APOD+ MSC
admldcpe-1,Mature B
admnebdn-1,GMP
adnapobe-1,Osteo-MSC
adnbgkip-1,Late Erythroid
adnbhala-1,Cycling HSPC
adncgffj-1,Osteoblast
adndgcjl-1,AEC
adndjgeb-1,GMP
adngnpme-1,VSMC
adnialch-1,Neutrophil
adnjjlpg-1,Plasma Cell
adnjnilk-1,THY1+ MSC
adnkbaig-1,SEC
adnkdhjh-1,Early Myeloid Progenitor
adnldpii-1,Pro-B
adnmfkgl-1,Fibro-MSC
adnpfdoi-1,Fibro-MSC
adnpndcb-1,MEP
adocadkk-1,Mature B
adocdplj-1,Fibro-MSC
adoehlnl-1,Pro-B
adoffmeh-1,Fibro-MSC
adofgkel-1,Pro-B
adogfigc-1,CD4+ T-Cell
adohhofc-1,CD4+ T-Cell
adohllik-1,Early Myeloid Progenitor
adoijddl-1,CLP
adojdndg-1,Late Erythroid
adokhpih-1,Early Myeloid Progenitor
adolfefp-1,RBC
adonndio-1,Late Erythroid
adoognop-1,Late Erythroid
adpbbjma-1,Cycling HSPC
adpbcbac-1,RBC
adpdcaec-1,Fibro-MSC
adpekbbo-1,Mature B
adpfenne-1,Macrophages
adpikmjd-1,Fibro-MSC
adpkmanb-1,RBC
adpllcmg-1,Monocyte
adplpkia-1,GMP
adpmfcop-1,CD8+ T-Cell
adpnekcn-1,Plasma Cell
adpnjkng-1,Plasma Cell
adpnoclg-1,RBC
adpodkeb-1,Osteoblast
aeacaocn-1,CD4+ T-Cell
aeacbemc-1,Pre-B
aeacmbdf-1,Fibro-MSC
aeacpjhi-1,MEP
aeadmilk-1,CD4+ T-Cell
aeadneij-1,RBC
aeagdpbc-1,Late Myeloid
aeagoamp-1,Osteoblast
aeahaceb-1,Monocyte
aeahmlbf-1,RBC
aeaifcbe-1,RBC
aeajajlf-1,Plasma Cell
aeajigah-1,Late Erythroid
aeajlpjp-1,THY1+ MSC
aealmdhf-1,Late Erythroid
aeancpaf-1,Late Erythroid
aeapkabp-1,Late Erythroid
aeapkfod-1,Macrophages
aebanocg-1,Late Erythroid
aebbkbpa-1,Erythroblast
