"","cell_id","group"
"abfjbfnh-1","abfjbfnh-1","MPP"
"abfjhhof-1","abfjhhof-1","MPP"
"abfknnhb-1","abfknnhb-1","GMP"
"abfllgpk-1","abfllgpk-1","Late Erythroid"
"abfmdkmb-1","abfmdkmb-1","Early Myeloid Progenitor"
"abfnhbnf-1","abfnhbnf-1","Early Myeloid Progenitor"
"abgajglp-1","abgajglp-1","Pre-B"
"abgcnklb-1","abgcnklb-1","RBC"
"abgcojkm-1","abgcojkm-1","GMP"
"abgggkkf-1","abgggkkf-1","RBC"
"abghccph-1","abghccph-1","Early Myeloid Progenitor"
"abghgkdg-1","abghgkdg-1","Late Erythroid"
"abgjcbdp-1","abgjcbdp-1","Late Erythroid"
"abgjojpp-1","abgjojpp-1","Early Myeloid Progenitor"
"abgkhapc-1","abgkhapc-1","Early Myeloid Progenitor"
"abgkmkdk-1","abgkmkdk-1","SEC"
"abglagie-1","abglagie-1","AEC"
"abglepfn-1","abglepfn-1","Early Myeloid Progenitor"
"abglfidb-1","abglfidb-1","Ba/Eo/Ma"
"abgnklmk-1","abgnklmk-1","MPP"
"abgpijbe-1","abgpijbe-1","AEC"
"abgpmiab-1","abgpmiab-1","Late Erythroid"
"abhdcjjj-1","abhdcjjj-1","Late Erythroid"
"abhdlilb-1","abhdlilb-1","Early Myeloid Progenitor"
"abhdnacg-1","abhdnacg-1","Pro-B"
"abhedgck-1","abhedgck-1","Early Myeloid Progenitor"
"abhfcbal-1","abhfcbal-1","CD8+ T-Cell"
"abhfoioo-1","abhfoioo-1","GMP"
"abhhjhle-1","abhhjhle-1","Late Myeloid"
"abhigdhh-1","abhigdhh-1","Early Myeloid Progenitor"
"abhijajh-1","abhijajh-1","MPP"
"abhjbmjk-1","abhjbmjk-1","Ba/Eo/Ma"
"abhjfgpg-1","abhjfgpg-1","GMP"
"abhkimgk-1","abhkimgk-1","Early Myeloid Progenitor"
"abhlillh-1","abhlillh-1","MPP"
"abhmjhlk-1","abhmjhlk-1","GMP"
"abhnmcmd-1","abhnmcmd-1","Late Myeloid"
"abhnojnf-1","abhnojnf-1","Late Myeloid"
"abhoppho-1","abhoppho-1","Early Myeloid Progenitor"
"abhpcahm-1","abhpcahm-1","GMP"
"abhpihoe-1","abhpihoe-1","Early Myeloid Progenitor"
"abicobha-1","abicobha-1","GMP"
"abieabgc-1","abieabgc-1","Cycling HSPC"
"abiedfac-1","abiedfac-1","Early Myeloid Progenitor"
"abifamln-1","abifamln-1","GMP"
"abifmehc-1","abifmehc-1","Late Erythroid"
"abifmlmk-1","abifmlmk-1","GMP"
"abihomcn-1","abihomcn-1","Early Myeloid Progenitor"
"abinkgko-1","abinkgko-1","Early Myeloid Progenitor"
"abjamgmg-1","abjamgmg-1","Early Myeloid Progenitor"
"abjbkkho-1","abjbkkho-1","Early Myeloid Progenitor"
"abjblhph-1","abjblhph-1","Early Myeloid Progenitor"
"abjblmlc-1","abjblmlc-1","SEC"
"abjcacbe-1","abjcacbe-1","Early Myeloid Progenitor"
"abjccgbd-1","abjccgbd-1","SEC"
"abjcidpi-1","abjcidpi-1","Early Myeloid Progenitor"
"abjddobl-1","abjddobl-1","GMP"
"abjdkhfh-1","abjdkhfh-1","AEC"
"abjeliaf-1","abjeliaf-1","GMP"
"abjfdgkb-1","abjfdgkb-1","Late Myeloid"
"abjfghcb-1","abjfghcb-1","Early Myeloid Progenitor"
"abjhgfen-1","abjhgfen-1","Early Myeloid Progenitor"
"abjhlkip-1","abjhlkip-1","Neutrophil"
"abjjnhga-1","abjjnhga-1","Late Myeloid"
"abjjompo-1","abjjompo-1","Late Myeloid"
"abjkoege-1","abjkoege-1","Late Erythroid"
"abjnhjnh-1","abjnhjnh-1","Late Erythroid"
"abjojdlk-1","abjojdlk-1","Late Erythroid"
"abjonahh-1","abjonahh-1","Late Erythroid"
"abjpmjnm-1","abjpmjnm-1","Late Erythroid"
"abjpmkja-1","abjpmkja-1","Late Myeloid"
"abkamofl-1","abkamofl-1","Late Erythroid"
"abkedmdi-1","abkedmdi-1","Late Erythroid"
"abkfkjng-1","abkfkjng-1","Late Erythroid"
"abkhajep-1","abkhajep-1","pDC"
"abkhcjnk-1","abkhcjnk-1","Monocyte"
"abkibeab-1","abkibeab-1","Early Myeloid Progenitor"
"abkilkgo-1","abkilkgo-1","Late Erythroid"
"abkjaccn-1","abkjaccn-1","Late Erythroid"
"abkmeceb-1","abkmeceb-1","Early Myeloid Progenitor"
"abkmihjp-1","abkmihjp-1","Early Myeloid Progenitor"
"abknopnc-1","abknopnc-1","RBC"
"abkohjge-1","abkohjge-1","Late Erythroid"
"abkpdcpg-1","abkpdcpg-1","GMP"
"ablbfijp-1","ablbfijp-1","Late Erythroid"
"ablbofgg-1","ablbofgg-1","Late Myeloid"
"ablbpplg-1","ablbpplg-1","Late Erythroid"
"ablcgino-1","ablcgino-1","GMP"
"ablenkck-1","ablenkck-1","Early Myeloid Progenitor"
"ablfeijc-1","ablfeijc-1","GMP"
"ablhacgn-1","ablhacgn-1","Pre-Pro B"
"ablhepfa-1","ablhepfa-1","Late Erythroid"
"ablhhpnd-1","ablhhpnd-1","Early Myeloid Progenitor"
"abljochf-1","abljochf-1","GMP"
"ablmmmbb-1","ablmmmbb-1","Late Myeloid"
"ablnbpmh-1","ablnbpmh-1","Late Myeloid"
"abmbgdbi-1","abmbgdbi-1","Cycling HSPC"
"abmdjdpk-1","abmdjdpk-1","Cycling HSPC"
"abmiaejd-1","abmiaejd-1","Cycling HSPC"
"abmilhoo-1","abmilhoo-1","Cycling HSPC"
"abmjlgfa-1","abmjlgfa-1","Early Myeloid Progenitor"
"abmkboag-1","abmkboag-1","GMP"
"abmkhngo-1","abmkhngo-1","Late Myeloid"
