"","cell_id","group"
"abjfdbbe-1","abjfdbbe-1","Not-mapped"
"abjfniid-1","abjfniid-1","Cycling HSPC"
"abjjhllf-1","abjjhllf-1","Not-mapped"
"abjjjiii-1","abjjjiii-1","Not-mapped"
"abjlakma-1","abjlakma-1","Not-mapped"
"abjlcgdi-1","abjlcgdi-1","Plasma Cell"
"abjngekk-1","abjngekk-1","Not-mapped"
"abjoafbf-1","abjoafbf-1","Not-mapped"
"abkaklgp-1","abkaklgp-1","Not-mapped"
"abkbnpih-1","abkbnpih-1","CD8+ T-Cell"
"abkddgba-1","abkddgba-1","Not-mapped"
"abkffgkl-1","abkffgkl-1","Not-mapped"
"abkiagch-1","abkiagch-1","AEC"
"abkijcgm-1","abkijcgm-1","Not-mapped"
"abkmelmb-1","abkmelmb-1","Not-mapped"
"abknjdea-1","abknjdea-1","Plasma Cell"
"abkpcgea-1","abkpcgea-1","Not-mapped"
"abkpklel-1","abkpklel-1","Early Myeloid Progenitor"
"abkpmiln-1","abkpmiln-1","GMP"
"ablalcdh-1","ablalcdh-1","Not-mapped"
"ablambdg-1","ablambdg-1","Not-mapped"
"ablbpjih-1","ablbpjih-1","RBC"
"ablgjbic-1","ablgjbic-1","Late Myeloid"
"ablkcfme-1","ablkcfme-1","Not-mapped"
"ablkkkjl-1","ablkkkjl-1","Not-mapped"
"abllpmfn-1","abllpmfn-1","Not-mapped"
"ablnajhc-1","ablnajhc-1","Not-mapped"
"ablndcdd-1","ablndcdd-1","Not-mapped"
"ablpjich-1","ablpjich-1","Not-mapped"
"abmabbll-1","abmabbll-1","Early Myeloid Progenitor"
"abmapgie-1","abmapgie-1","Not-mapped"
"abmbbbla-1","abmbbbla-1","GMP"
"abmbcaib-1","abmbcaib-1","Late Erythroid"
"abmbehmi-1","abmbehmi-1","Not-mapped"
"abmemnlo-1","abmemnlo-1","Plasma Cell"
"abmggplc-1","abmggplc-1","Cycling HSPC"
"abmhkbom-1","abmhkbom-1","GMP"
"abmilljp-1","abmilljp-1","Not-mapped"
"abmldncm-1","abmldncm-1","Mature B"
"abmlhcfe-1","abmlhcfe-1","Cycling HSPC"
"abmlnhli-1","abmlnhli-1","Cycling HSPC"
"abmmfeha-1","abmmfeha-1","Macrophages"
"abmmoeic-1","abmmoeic-1","Not-mapped"
"abnanaak-1","abnanaak-1","Neutrophil"
"abncalmc-1","abncalmc-1","Not-mapped"
"abneifgd-1","abneifgd-1","GMP"
"abnfblnh-1","abnfblnh-1","Late Myeloid"
"abnfinca-1","abnfinca-1","Not-mapped"
"abngbejb-1","abngbejb-1","Plasma Cell"
"abngihch-1","abngihch-1","Plasma Cell"
"abngjgjn-1","abngjgjn-1","Mature B"
"abnieepi-1","abnieepi-1","Not-mapped"
"abnilcgl-1","abnilcgl-1","Late Erythroid"
"abnjdjpl-1","abnjdjpl-1","Not-mapped"
"abnmplpf-1","abnmplpf-1","Not-mapped"
"abnocpkm-1","abnocpkm-1","Pre-B"
"abnoeing-1","abnoeing-1","Not-mapped"
"abnpffnc-1","abnpffnc-1","Not-mapped"
"abnpgfhm-1","abnpgfhm-1","RBC"
"abobnaig-1","abobnaig-1","Not-mapped"
"abobnbef-1","abobnbef-1","Not-mapped"
"abocjbjg-1","abocjbjg-1","Not-mapped"
"abocolgc-1","abocolgc-1","RBC"
"aboddjbk-1","aboddjbk-1","Not-mapped"
"abogpbaj-1","abogpbaj-1","Late Myeloid"
"abojibdi-1","abojibdi-1","Late Erythroid"
"abokpjnn-1","abokpjnn-1","Monocyte"
"abombiim-1","abombiim-1","CD8+ T-Cell"
"abomeglo-1","abomeglo-1","Not-mapped"
"abonfnep-1","abonfnep-1","Not-mapped"
"aboolikb-1","aboolikb-1","Late Erythroid"
"aboombhk-1","aboombhk-1","GMP"
"abpbeakf-1","abpbeakf-1","Ba/Eo/Ma"
"abpbgnfd-1","abpbgnfd-1","Not-mapped"
"abpddolp-1","abpddolp-1","Late Erythroid"
"abpgieia-1","abpgieia-1","Neutrophil"
"abphkmgn-1","abphkmgn-1","Not-mapped"
"abpjajnk-1","abpjajnk-1","Late Erythroid"
"abpjehkb-1","abpjehkb-1","Not-mapped"
"abpmpbgl-1","abpmpbgl-1","Cycling HSPC"
"abpobjhd-1","abpobjhd-1","Not-mapped"
"abpocacp-1","abpocacp-1","CD8+ T-Cell"
"abpokdlp-1","abpokdlp-1","Not-mapped"
"acaajcik-1","acaajcik-1","Not-mapped"
"acaaoggh-1","acaaoggh-1","Not-mapped"
"acabpdil-1","acabpdil-1","Not-mapped"
"acadhopn-1","acadhopn-1","Not-mapped"
"acaflcld-1","acaflcld-1","Late Erythroid"
"acagcpke-1","acagcpke-1","Neutrophil"
"acagoodh-1","acagoodh-1","Not-mapped"
"acajbnmh-1","acajbnmh-1","Late Erythroid"
"acajmfai-1","acajmfai-1","Late Erythroid"
"acajnnnk-1","acajnnnk-1","Late Erythroid"
"acalkghd-1","acalkghd-1","Not-mapped"
"acalmfio-1","acalmfio-1","Not-mapped"
"acaoijec-1","acaoijec-1","Not-mapped"
"acaoipho-1","acaoipho-1","Monocyte"
"acbacecd-1","acbacecd-1","Not-mapped"
"acbafmll-1","acbafmll-1","Late Erythroid"
"acbaknef-1","acbaknef-1","Late Erythroid"
"acbankbn-1","acbankbn-1","Late Erythroid"
"acbbieij-1","acbbieij-1","Late Erythroid"
"acbbnahm-1","acbbnahm-1","Not-mapped"
"acbcceeb-1","acbcceeb-1","Ba/Eo/Ma"
"acbcnmhd-1","acbcnmhd-1","Not-mapped"
"acbejgpd-1","acbejgpd-1","Not-mapped"
"acbhjmhm-1","acbhjmhm-1","Late Erythroid"
"acbiakbn-1","acbiakbn-1","GMP"
"acbindgh-1","acbindgh-1","RBC"
"acbjincg-1","acbjincg-1","Not-mapped"
"acbjkdgh-1","acbjkdgh-1","Not-mapped"
"acbjlloa-1","acbjlloa-1","Late Erythroid"
"acbkdcio-1","acbkdcio-1","Not-mapped"
"acbkoeae-1","acbkoeae-1","RBC"
"acbmbmhe-1","acbmbmhe-1","Not-mapped"
"acbmeklh-1","acbmeklh-1","Not-mapped"
"acbmnnbd-1","acbmnnbd-1","Not-mapped"
"acbnfjib-1","acbnfjib-1","Not-mapped"
"acbnkdla-1","acbnkdla-1","Not-mapped"
"acbohfhm-1","acbohfhm-1","Not-mapped"
"accdhmnj-1","accdhmnj-1","Not-mapped"
"accelaga-1","accelaga-1","Erythroblast"
"acchjdmi-1","acchjdmi-1","Not-mapped"
"accincml-1","accincml-1","Not-mapped"
"acckojjf-1","acckojjf-1","Not-mapped"
"accmdoee-1","accmdoee-1","GMP"
"accnboid-1","accnboid-1","Not-mapped"
"accncbhn-1","accncbhn-1","Not-mapped"
"accnplnp-1","accnplnp-1","Not-mapped"
"accogame-1","accogame-1","Not-mapped"
"accpffki-1","accpffki-1","Not-mapped"
