"","cell_id","group"
"ananekcg-1","ananekcg-1","APOD+ MSC"
"anaodhed-1","anaodhed-1","Monocyte"
"anbajhid-1","anbajhid-1","Monocyte"
"anblgigc-1","anblgigc-1","Monocyte"
"andafapl-1","andafapl-1","Plasma Cell"
"andjhpll-1","andjhpll-1","Neutrophil"
"andkiifm-1","andkiifm-1","Pro-B"
"andlcgci-1","andlcgci-1","Plasma Cell"
"aneecdol-1","aneecdol-1","Early Myeloid Progenitor"
"anegppck-1","anegppck-1","Early Myeloid Progenitor"
"anepiodl-1","anepiodl-1","Early Myeloid Progenitor"
"anfdlfeb-1","anfdlfeb-1","Plasma Cell"
"anfhmfph-1","anfhmfph-1","RNAlo MSC"
"anfjplhl-1","anfjplhl-1","Osteo-MSC"
"anhcadgc-1","anhcadgc-1","APOD+ MSC"
"anhdabeb-1","anhdabeb-1","Osteo-MSC"
"anjbnhbm-1","anjbnhbm-1","Osteo-MSC"
"ankenhhl-1","ankenhhl-1","APOD+ MSC"
"ankhgoci-1","ankhgoci-1","APOD+ MSC"
"anlgohpl-1","anlgohpl-1","Ba/Eo/Ma"
"anlpeckp-1","anlpeckp-1","APOD+ MSC"
"anmalfll-1","anmalfll-1","Fibro-MSC"
"anmiedod-1","anmiedod-1","VSMC"
"anmjmnal-1","anmjmnal-1","Fibro-MSC"
"anmmcibc-1","anmmcibc-1","Fibro-MSC"
"anmohddo-1","anmohddo-1","Pro-B"
"annbdjil-1","annbdjil-1","MPP"
"annediag-1","annediag-1","VSMC"
"annelbbp-1","annelbbp-1","AEC"
"annjakhf-1","annjakhf-1","AEC"
"annjlfae-1","annjlfae-1","Fibro-MSC"
"annopbop-1","annopbop-1","RNAlo MSC"
"anonglii-1","anonglii-1","Fibro-MSC"
"anooogpf-1","anooogpf-1","APOD+ MSC"
"anpjdjpk-1","anpjdjpk-1","Monocyte"
"aobdijmh-1","aobdijmh-1","AEC"
"aobhemem-1","aobhemem-1","AEC"
"aobnjdpb-1","aobnjdpb-1","AEC"
"aobokfdn-1","aobokfdn-1","AEC"
"aocbejje-1","aocbejje-1","VSMC"
"aockeabf-1","aockeabf-1","APOD+ MSC"
"aocnimnh-1","aocnimnh-1","AEC"
"aodfgdgl-1","aodfgdgl-1","AEC"
"aodfnmik-1","aodfnmik-1","AEC"
"aodnldeh-1","aodnldeh-1","AEC"
"aoecaikb-1","aoecaikb-1","AEC"
"aoehehcd-1","aoehehcd-1","Fibro-MSC"
"aoehkdnd-1","aoehkdnd-1","APOD+ MSC"
"aogkbgmo-1","aogkbgmo-1","AEC"
"aognbpfn-1","aognbpfn-1","VSMC"
"aohapmok-1","aohapmok-1","APOD+ MSC"
"aohdgopa-1","aohdgopa-1","VSMC"
"aohoegko-1","aohoegko-1","RNAlo MSC"
"aohokobn-1","aohokobn-1","RNAlo MSC"
"aoidconm-1","aoidconm-1","RNAlo MSC"
"aoijckmo-1","aoijckmo-1","RNAlo MSC"
"aoklajbd-1","aoklajbd-1","VSMC"
"aokmecdc-1","aokmecdc-1","AEC"
"aolfalcg-1","aolfalcg-1","SEC"
"aolpmlnc-1","aolpmlnc-1","SEC"
"aomaoian-1","aomaoian-1","SEC"
"aomhomge-1","aomhomge-1","VSMC"
"aonfcjhf-1","aonfcjhf-1","VSMC"
"aoodhnbg-1","aoodhnbg-1","VSMC"
"aoohlneo-1","aoohlneo-1","Plasma Cell"
"aoojchhd-1","aoojchhd-1","Plasma Cell"
"aooockhp-1","aooockhp-1","Early Myeloid Progenitor"
"apaeoend-1","apaeoend-1","APOD+ MSC"
"apaiincc-1","apaiincc-1","Pro-B"
"apaphedm-1","apaphedm-1","Early Myeloid Progenitor"
"apbbjdam-1","apbbjdam-1","Monocyte"
"apbemepo-1","apbemepo-1","APOD+ MSC"
"apbfckpo-1","apbfckpo-1","APOD+ MSC"
"apcgihip-1","apcgihip-1","APOD+ MSC"
"apgbdlnp-1","apgbdlnp-1","Early Myeloid Progenitor"
"apgcjbmc-1","apgcjbmc-1","APOD+ MSC"
"apgedfph-1","apgedfph-1","APOD+ MSC"
"apgnekfh-1","apgnekfh-1","VSMC"
