"","cell_id","group"
"abbpcmni-1","abbpcmni-1","Not-mapped"
"abcbfekj-1","abcbfekj-1","Ba/Eo/Ma"
"abcbfelk-1","abcbfelk-1","Late Erythroid"
"abcbklln-1","abcbklln-1","Not-mapped"
"abccdopn-1","abccdopn-1","Not-mapped"
"abccfkii-1","abccfkii-1","Cycling HSPC"
"abccnalj-1","abccnalj-1","Not-mapped"
"abcdjcif-1","abcdjcif-1","Not-mapped"
"abceaogj-1","abceaogj-1","Not-mapped"
"abchgmbc-1","abchgmbc-1","Late Erythroid"
"abciajmm-1","abciajmm-1","Not-mapped"
"abcjchhn-1","abcjchhn-1","Late Erythroid"
"abcjfjei-1","abcjfjei-1","Late Erythroid"
"abclhipc-1","abclhipc-1","Late Erythroid"
"abcmeemf-1","abcmeemf-1","Not-mapped"
"abcodaik-1","abcodaik-1","Not-mapped"
"abcpdknp-1","abcpdknp-1","SEC"
"abcpnelk-1","abcpnelk-1","CD8+ T-Cell"
"abdbdjaf-1","abdbdjaf-1","Pro-B"
"abdcgfcl-1","abdcgfcl-1","Not-mapped"
"abdeaodp-1","abdeaodp-1","Not-mapped"
"abdecfko-1","abdecfko-1","Plasma Cell"
"abdffdji-1","abdffdji-1","Not-mapped"
"abdgajao-1","abdgajao-1","Not-mapped"
"abdglkki-1","abdglkki-1","Not-mapped"
"abdjbijd-1","abdjbijd-1","Not-mapped"
"abdjihja-1","abdjihja-1","Not-mapped"
"abdjmmge-1","abdjmmge-1","Not-mapped"
"abdkhend-1","abdkhend-1","Early Myeloid Progenitor"
"abdlocmc-1","abdlocmc-1","Early Myeloid Progenitor"
"abdnonde-1","abdnonde-1","Not-mapped"
"abebpcmd-1","abebpcmd-1","Not-mapped"
"abecbllj-1","abecbllj-1","Not-mapped"
"abedhgep-1","abedhgep-1","Not-mapped"
"abeedlac-1","abeedlac-1","Late Erythroid"
"abeeflkm-1","abeeflkm-1","Not-mapped"
"abeflibj-1","abeflibj-1","Early Myeloid Progenitor"
"abehekjb-1","abehekjb-1","Not-mapped"
"abehfacm-1","abehfacm-1","Not-mapped"
"abejjham-1","abejjham-1","MPP"
"abekihnd-1","abekihnd-1","Not-mapped"
"abekimhb-1","abekimhb-1","Late Myeloid"
"abelakno-1","abelakno-1","Not-mapped"
"abembamc-1","abembamc-1","Not-mapped"
"abemiboh-1","abemiboh-1","Not-mapped"
"abemlepc-1","abemlepc-1","Adipo-MSC"
"abeocmco-1","abeocmco-1","Not-mapped"
"abepanhi-1","abepanhi-1","Not-mapped"
"abepbnmc-1","abepbnmc-1","Mature B"
"abephjai-1","abephjai-1","Not-mapped"
"abfacgla-1","abfacgla-1","Not-mapped"
"abfceiaf-1","abfceiaf-1","Not-mapped"
"abfcogmi-1","abfcogmi-1","Not-mapped"
"abfebpjg-1","abfebpjg-1","Not-mapped"
"abfefjkj-1","abfefjkj-1","Monocyte"
"abfegmlf-1","abfegmlf-1","Not-mapped"
"abfeoohg-1","abfeoohg-1","Late Erythroid"
"abfgfboa-1","abfgfboa-1","Not-mapped"
"abfhogmj-1","abfhogmj-1","Not-mapped"
"abfjbfnh-1","abfjbfnh-1","Not-mapped"
"abfjhhof-1","abfjhhof-1","Not-mapped"
"abfknnhb-1","abfknnhb-1","Not-mapped"
"abfllgpk-1","abfllgpk-1","Not-mapped"
"abfmdkmb-1","abfmdkmb-1","Not-mapped"
"abfnhbnf-1","abfnhbnf-1","Early Myeloid Progenitor"
"abgajglp-1","abgajglp-1","Not-mapped"
"abgcnklb-1","abgcnklb-1","Not-mapped"
"abgcojkm-1","abgcojkm-1","Not-mapped"
"abgggkkf-1","abgggkkf-1","RBC"
"abghccph-1","abghccph-1","Early Myeloid Progenitor"
"abghgkdg-1","abghgkdg-1","Not-mapped"
"abgjcbdp-1","abgjcbdp-1","Late Erythroid"
"abgjojpp-1","abgjojpp-1","Not-mapped"
"abgkhapc-1","abgkhapc-1","Not-mapped"
"abgkmkdk-1","abgkmkdk-1","Not-mapped"
"abglagie-1","abglagie-1","Not-mapped"
"abglepfn-1","abglepfn-1","Not-mapped"
"abglfidb-1","abglfidb-1","Not-mapped"
"abgnklmk-1","abgnklmk-1","Not-mapped"
"abgpijbe-1","abgpijbe-1","Not-mapped"
"abgpmiab-1","abgpmiab-1","Not-mapped"
"abhdcjjj-1","abhdcjjj-1","Not-mapped"
"abhdlilb-1","abhdlilb-1","Not-mapped"
"abhdnacg-1","abhdnacg-1","Not-mapped"
"abhedgck-1","abhedgck-1","Not-mapped"
"abhfcbal-1","abhfcbal-1","Not-mapped"
"abhfoioo-1","abhfoioo-1","Not-mapped"
"abhhjhle-1","abhhjhle-1","Late Myeloid"
"abhigdhh-1","abhigdhh-1","Not-mapped"
"abhijajh-1","abhijajh-1","Not-mapped"
"abhjbmjk-1","abhjbmjk-1","Not-mapped"
"abhjfgpg-1","abhjfgpg-1","Not-mapped"
"abhkimgk-1","abhkimgk-1","Early Myeloid Progenitor"
"abhlillh-1","abhlillh-1","Not-mapped"
"abhmjhlk-1","abhmjhlk-1","Not-mapped"
"abhnmcmd-1","abhnmcmd-1","Late Myeloid"
"abhnojnf-1","abhnojnf-1","Not-mapped"
"abhoppho-1","abhoppho-1","Not-mapped"
"abhpcahm-1","abhpcahm-1","Not-mapped"
"abhpihoe-1","abhpihoe-1","Not-mapped"
"abicobha-1","abicobha-1","Not-mapped"
"abieabgc-1","abieabgc-1","Not-mapped"
"abiedfac-1","abiedfac-1","Not-mapped"
"abifamln-1","abifamln-1","Not-mapped"
"abifmehc-1","abifmehc-1","Late Erythroid"
"abifmlmk-1","abifmlmk-1","GMP"
"abihomcn-1","abihomcn-1","Early Myeloid Progenitor"
"abinkgko-1","abinkgko-1","Not-mapped"
"abjamgmg-1","abjamgmg-1","Early Myeloid Progenitor"
"abjbkkho-1","abjbkkho-1","Not-mapped"
"abjblhph-1","abjblhph-1","Not-mapped"
"abjblmlc-1","abjblmlc-1","Not-mapped"
"abjcacbe-1","abjcacbe-1","Not-mapped"
"abjccgbd-1","abjccgbd-1","Not-mapped"
"abjcidpi-1","abjcidpi-1","Not-mapped"
"abjddobl-1","abjddobl-1","GMP"
"abjdkhfh-1","abjdkhfh-1","AEC"
"abjeliaf-1","abjeliaf-1","Not-mapped"
"abjfdgkb-1","abjfdgkb-1","Late Myeloid"
"abjfghcb-1","abjfghcb-1","Early Myeloid Progenitor"
"abjhgfen-1","abjhgfen-1","Not-mapped"
"abjhlkip-1","abjhlkip-1","Not-mapped"
"abjjnhga-1","abjjnhga-1","Not-mapped"
"abjjompo-1","abjjompo-1","Late Myeloid"
"abjkoege-1","abjkoege-1","Not-mapped"
"abjnhjnh-1","abjnhjnh-1","Late Erythroid"
"abjojdlk-1","abjojdlk-1","Late Erythroid"
"abjonahh-1","abjonahh-1","Late Erythroid"
"abjpmjnm-1","abjpmjnm-1","Late Erythroid"
"abjpmkja-1","abjpmkja-1","Late Myeloid"
"abkamofl-1","abkamofl-1","Late Erythroid"
"abkedmdi-1","abkedmdi-1","Late Erythroid"
"abkfkjng-1","abkfkjng-1","Not-mapped"
"abkhajep-1","abkhajep-1","pDC"
"abkhcjnk-1","abkhcjnk-1","Monocyte"
"abkibeab-1","abkibeab-1","Early Myeloid Progenitor"
"abkilkgo-1","abkilkgo-1","Late Erythroid"
"abkjaccn-1","abkjaccn-1","Not-mapped"
"abkmeceb-1","abkmeceb-1","Not-mapped"
"abkmihjp-1","abkmihjp-1","Early Myeloid Progenitor"
"abknopnc-1","abknopnc-1","Not-mapped"
"abkohjge-1","abkohjge-1","Late Erythroid"
"abkpdcpg-1","abkpdcpg-1","GMP"
"ablbfijp-1","ablbfijp-1","Late Erythroid"
"ablbofgg-1","ablbofgg-1","Late Myeloid"
"ablbpplg-1","ablbpplg-1","Late Erythroid"
"ablcgino-1","ablcgino-1","GMP"
"ablenkck-1","ablenkck-1","Not-mapped"
"ablfeijc-1","ablfeijc-1","Not-mapped"
"ablhacgn-1","ablhacgn-1","Pre-Pro B"
"ablhepfa-1","ablhepfa-1","Not-mapped"
"ablhhpnd-1","ablhhpnd-1","Not-mapped"
"abljochf-1","abljochf-1","Not-mapped"
"ablmmmbb-1","ablmmmbb-1","Not-mapped"
"ablnbpmh-1","ablnbpmh-1","Late Myeloid"
"abmbgdbi-1","abmbgdbi-1","Not-mapped"
"abmdjdpk-1","abmdjdpk-1","Not-mapped"
"abmiaejd-1","abmiaejd-1","Not-mapped"
"abmilhoo-1","abmilhoo-1","Not-mapped"
"abmjlgfa-1","abmjlgfa-1","Early Myeloid Progenitor"
"abmkboag-1","abmkboag-1","Not-mapped"
"abmkhngo-1","abmkhngo-1","Not-mapped"
"abmlacmf-1","abmlacmf-1","Not-mapped"
"abmljcpf-1","abmljcpf-1","Not-mapped"
"abmlobee-1","abmlobee-1","Early Myeloid Progenitor"
"abmmphld-1","abmmphld-1","Ba/Eo/Ma"
"abmnfpoe-1","abmnfpoe-1","GMP"
"abmoglfa-1","abmoglfa-1","GMP"
"abmokdhe-1","abmokdhe-1","Not-mapped"
"abmomnod-1","abmomnod-1","Early Myeloid Progenitor"
"abnabmep-1","abnabmep-1","Not-mapped"
"abnbfllo-1","abnbfllo-1","Not-mapped"
"abnbjjpl-1","abnbjjpl-1","Early Myeloid Progenitor"
"abnbndbj-1","abnbndbj-1","Not-mapped"
"abncbhdf-1","abncbhdf-1","Not-mapped"
"abnckimn-1","abnckimn-1","Not-mapped"
"abncnbeo-1","abncnbeo-1","Not-mapped"
"abneofmf-1","abneofmf-1","Not-mapped"
"abnfidfb-1","abnfidfb-1","Not-mapped"
"abnfmjnk-1","abnfmjnk-1","Not-mapped"
"abngbhpg-1","abngbhpg-1","Not-mapped"
"abnggfhp-1","abnggfhp-1","Not-mapped"
"abnhfkdh-1","abnhfkdh-1","Not-mapped"
"abnjnbkn-1","abnjnbkn-1","GMP"
"abnkleea-1","abnkleea-1","GMP"
"abnmlhpo-1","abnmlhpo-1","GMP"
