"","cell_id","group"
"aappmpcp-1","aappmpcp-1","SPP1+ Osteoblast"
"abaaadpc-1","abaaadpc-1","PDGFRA/B+ MSC/Bone"
"abaakjjp-1","abaakjjp-1","PDGFRA/B+ MSC/Bone"
"abaalona-1","abaalona-1","T_NK"
"ababende-1","ababende-1","ELANE_high Neutrophil"
"abaeddeo-1","abaeddeo-1","ITGAM+ ELANE_low Neutrophil"
"abaeffcn-1","abaeffcn-1","MKI67+ Erythroblast"
"abaehiia-1","abaehiia-1","SPP1+ Osteoblast"
"abaeolpg-1","abaeolpg-1","ELANE_high Neutrophil"
"abafloih-1","abafloih-1","SPP1+ Osteoblast"
"abageapb-1","abageapb-1","CD74+ Uk"
"abaihedd-1","abaihedd-1","SPP1+ Osteoblast"
"abajfnoa-1","abajfnoa-1","MKI67+ Erythroblast"
"abajnfdh-1","abajnfdh-1","CD74+ Uk"
"abajnpjd-1","abajnpjd-1","SPP1+ Osteoblast"
"abakhgmk-1","abakhgmk-1","ELANE_high Neutrophil"
"abalaffp-1","abalaffp-1","ELANE_high Neutrophil"
"abamgadj-1","abamgadj-1","ELANE_high Neutrophil"
"abaoddnm-1","abaoddnm-1","SPP1+ Osteoblast"
"abbbeoid-1","abbbeoid-1","MKI67+ Erythroblast"
"abbddmbp-1","abbddmbp-1","MKI67+ Erythroblast"
"abbdhmco-1","abbdhmco-1","ELANE_high Neutrophil"
"abbigenb-1","abbigenb-1","CD74+ Uk"
"abbihmon-1","abbihmon-1","PDGFRA/B+ MSC/Bone"
"abbincfk-1","abbincfk-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abbkjmeb-1","abbkjmeb-1","MKI67+ Erythroblast"
"abbmgana-1","abbmgana-1","MKI67+ Erythroblast"
"abbnmjkg-1","abbnmjkg-1","MKI67+ Erythroblast"
"abbpchbe-1","abbpchbe-1","Uk"
"abbpcmni-1","abbpcmni-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abcbfekj-1","abcbfekj-1","MS4A2+ Mast Cell?"
"abcbfelk-1","abcbfelk-1","MKI67+ Erythroblast"
"abcbklln-1","abcbklln-1","MKI67+ Erythroblast"
"abccdopn-1","abccdopn-1","PDGFRA/B+ MSC/Bone"
"abccfkii-1","abccfkii-1","ELANE_high Neutrophil"
"abccnalj-1","abccnalj-1","MS4A2+ Mast Cell?"
"abcdjcif-1","abcdjcif-1","ELANE_high Neutrophil"
"abceaogj-1","abceaogj-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abchgmbc-1","abchgmbc-1","MKI67+ Erythroblast"
"abciajmm-1","abciajmm-1","Uk"
"abcjchhn-1","abcjchhn-1","MKI67+ Erythroblast"
"abcjfjei-1","abcjfjei-1","MKI67+ Erythroblast"
"abclhipc-1","abclhipc-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abcmeemf-1","abcmeemf-1","Uk"
"abcodaik-1","abcodaik-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abcpdknp-1","abcpdknp-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abcpnelk-1","abcpnelk-1","T_NK"
"abdbdjaf-1","abdbdjaf-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"abdcgfcl-1","abdcgfcl-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abdeaodp-1","abdeaodp-1","Uk"
"abdecfko-1","abdecfko-1","Uk"
"abdffdji-1","abdffdji-1","Megakaryocyte?"
"abdgajao-1","abdgajao-1","Uk"
"abdglkki-1","abdglkki-1","B cell"
"abdjbijd-1","abdjbijd-1","SPP1+ Osteoblast"
"abdjihja-1","abdjihja-1","SPP1+ Osteoblast"
"abdjmmge-1","abdjmmge-1","MS4A2+ Mast Cell?"
"abdkhend-1","abdkhend-1","Uk"
"abdlocmc-1","abdlocmc-1","Uk"
"abdnonde-1","abdnonde-1","PDGFRA/B+ MSC/Bone"
"abebpcmd-1","abebpcmd-1","ELANE_high Neutrophil"
"abecbllj-1","abecbllj-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abedhgep-1","abedhgep-1","T_NK"
"abeedlac-1","abeedlac-1","MKI67+ Erythroblast"
"abeeflkm-1","abeeflkm-1","Uk"
"abeflibj-1","abeflibj-1","Uk"
"abehekjb-1","abehekjb-1","SPP1+ Osteoblast"
"abehfacm-1","abehfacm-1","Uk"
"abejjham-1","abejjham-1","Uk"
"abekihnd-1","abekihnd-1","Uk"
"abekimhb-1","abekimhb-1","ITGAM+ ELANE_low Neutrophil"
"abelakno-1","abelakno-1","Uk"
"abembamc-1","abembamc-1","ELANE_high Neutrophil"
"abemiboh-1","abemiboh-1","Uk"
"abemlepc-1","abemlepc-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"abeocmco-1","abeocmco-1","MKI67+ Erythroblast"
"abepanhi-1","abepanhi-1","MS4A2+ Mast Cell?"
"abepbnmc-1","abepbnmc-1","B cell"
"abephjai-1","abephjai-1","Uk"
"abfacgla-1","abfacgla-1","B cell"
"abfceiaf-1","abfceiaf-1","Uk"
"abfcogmi-1","abfcogmi-1","MS4A2+ Mast Cell?"
"abfebpjg-1","abfebpjg-1","Uk"
