"","cell_id","group"
"abodmhpi-1","abodmhpi-1","Not-mapped"
"aboeiiek-1","aboeiiek-1","Not-mapped"
"abohnnhi-1","abohnnhi-1","Not-mapped"
"aboideol-1","aboideol-1","Plasma Cell"
"aboifhod-1","aboifhod-1","Plasma Cell"
"aboklggl-1","aboklggl-1","Plasma Cell"
"abokoakj-1","abokoakj-1","Plasma Cell"
"abomahoj-1","abomahoj-1","Not-mapped"
"abombogh-1","abombogh-1","Early Myeloid Progenitor"
"aboocaof-1","aboocaof-1","Not-mapped"
"abooooac-1","abooooac-1","Not-mapped"
"abopooaj-1","abopooaj-1","Plasma Cell"
"abpahhid-1","abpahhid-1","Plasma Cell"
"abpcahdk-1","abpcahdk-1","Not-mapped"
"abpciinb-1","abpciinb-1","Not-mapped"
"abpckcii-1","abpckcii-1","Plasma Cell"
"abpffped-1","abpffped-1","Not-mapped"
"abpfhmbk-1","abpfhmbk-1","RNAlo MSC"
"abpfpdmk-1","abpfpdmk-1","Not-mapped"
"abphfipf-1","abphfipf-1","Not-mapped"
"abpifleg-1","abpifleg-1","Plasma Cell"
"abpihdfi-1","abpihdfi-1","MEP"
"abpjhpbb-1","abpjhpbb-1","Plasma Cell"
"abpjpiee-1","abpjpiee-1","Plasma Cell"
"abpmoomd-1","abpmoomd-1","Not-mapped"
"abpngeac-1","abpngeac-1","SEC"
"abpnljjn-1","abpnljjn-1","AEC"
"abpoompo-1","abpoompo-1","Early Myeloid Progenitor"
"acabgkln-1","acabgkln-1","Not-mapped"
"acahkkga-1","acahkkga-1","Plasma Cell"
"acahndaf-1","acahndaf-1","Not-mapped"
"acahoebf-1","acahoebf-1","Not-mapped"
"acaimpkg-1","acaimpkg-1","Not-mapped"
"acaljlnk-1","acaljlnk-1","CD4+ T-Cell"
"acampahp-1","acampahp-1","AEC"
"acandgch-1","acandgch-1","Not-mapped"
"acapngbd-1","acapngbd-1","Not-mapped"
"acbcdmnm-1","acbcdmnm-1","Plasma Cell"
"acbcicnb-1","acbcicnb-1","Early Myeloid Progenitor"
"acbddkgk-1","acbddkgk-1","AEC"
"acbdknlm-1","acbdknlm-1","Not-mapped"
"acbdocie-1","acbdocie-1","Plasma Cell"
"acbecaai-1","acbecaai-1","Not-mapped"
"acbficbi-1","acbficbi-1","Plasma Cell"
"acbgjkij-1","acbgjkij-1","Early Myeloid Progenitor"
"acbjjbhf-1","acbjjbhf-1","Not-mapped"
"acbomnhj-1","acbomnhj-1","Plasma Cell"
"acccfbhl-1","acccfbhl-1","Plasma Cell"
"acccmndm-1","acccmndm-1","Not-mapped"
"acceiikn-1","acceiikn-1","Plasma Cell"
"accneaca-1","accneaca-1","Early Myeloid Progenitor"
"acdafibb-1","acdafibb-1","Not-mapped"
"acdbdalo-1","acdbdalo-1","Early Myeloid Progenitor"
"acdfdhco-1","acdfdhco-1","Neutrophil"
"acdkcnmo-1","acdkcnmo-1","Plasma Cell"
"acdkmpci-1","acdkmpci-1","Not-mapped"
"acdmclag-1","acdmclag-1","Not-mapped"
"acdpbind-1","acdpbind-1","Plasma Cell"
"acdpgmbg-1","acdpgmbg-1","Plasma Cell"
"acdplpgh-1","acdplpgh-1","Not-mapped"
"acdpmofk-1","acdpmofk-1","Early Myeloid Progenitor"
"aceaohin-1","aceaohin-1","Plasma Cell"
"acedagdp-1","acedagdp-1","Not-mapped"
"acedfghk-1","acedfghk-1","Early Myeloid Progenitor"
"acedogii-1","acedogii-1","Not-mapped"
"acefhkac-1","acefhkac-1","Early Myeloid Progenitor"
"acegnoio-1","acegnoio-1","Plasma Cell"
"acfbkhil-1","acfbkhil-1","Plasma Cell"
"acffjbej-1","acffjbej-1","Not-mapped"
"acfhbejk-1","acfhbejk-1","Early Myeloid Progenitor"
"acfhomfn-1","acfhomfn-1","RNAlo MSC"
"acficgfh-1","acficgfh-1","Not-mapped"
"acfiddch-1","acfiddch-1","Not-mapped"
"acfijfnl-1","acfijfnl-1","Plasma Cell"
"acflkhjn-1","acflkhjn-1","AEC"
"acfolmil-1","acfolmil-1","Not-mapped"
"acgbpecf-1","acgbpecf-1","RNAlo MSC"
"acgcfphd-1","acgcfphd-1","Not-mapped"
"acgcicae-1","acgcicae-1","AEC"
"acgconff-1","acgconff-1","Early Myeloid Progenitor"
"acgdgkgj-1","acgdgkgj-1","APOD+ MSC"
"acgdjbfo-1","acgdjbfo-1","Not-mapped"
"acgefdnj-1","acgefdnj-1","Not-mapped"
"acgfabdb-1","acgfabdb-1","Not-mapped"
"acgfeaig-1","acgfeaig-1","Not-mapped"
"acgfflam-1","acgfflam-1","Early Myeloid Progenitor"
"acghokil-1","acghokil-1","Plasma Cell"
"acgmhpfm-1","acgmhpfm-1","Early Myeloid Progenitor"
"acgnhmic-1","acgnhmic-1","Plasma Cell"
"achalggn-1","achalggn-1","Plasma Cell"
"achbagca-1","achbagca-1","Plasma Cell"
"achbjfij-1","achbjfij-1","RNAlo MSC"
"achcidnf-1","achcidnf-1","Early Myeloid Progenitor"
"achebeni-1","achebeni-1","Not-mapped"
"achhejpo-1","achhejpo-1","Not-mapped"
"achkoede-1","achkoede-1","Not-mapped"
"achlppdd-1","achlppdd-1","Plasma Cell"
"achnbnal-1","achnbnal-1","Plasma Cell"
"achohhil-1","achohhil-1","Plasma Cell"
"aciaadbl-1","aciaadbl-1","Plasma Cell"
"acibifng-1","acibifng-1","Plasma Cell"
"acidbnji-1","acidbnji-1","Not-mapped"
"acidfill-1","acidfill-1","Not-mapped"
"acidibpb-1","acidibpb-1","Not-mapped"
"acifdbpm-1","acifdbpm-1","Plasma Cell"
"acifkmoc-1","acifkmoc-1","Plasma Cell"
"acifnpmg-1","acifnpmg-1","Plasma Cell"
"acifoeid-1","acifoeid-1","Not-mapped"
"aciilcji-1","aciilcji-1","Plasma Cell"
"acimfckd-1","acimfckd-1","Not-mapped"
"acipoicg-1","acipoicg-1","Not-mapped"
"acjafenh-1","acjafenh-1","Plasma Cell"
"acjenagj-1","acjenagj-1","Plasma Cell"
"acjgbjnj-1","acjgbjnj-1","Early Myeloid Progenitor"
"acjgdaip-1","acjgdaip-1","Not-mapped"
"acjiaeap-1","acjiaeap-1","Not-mapped"
