cell_id,group
adfdkkne-1,Ba/Eo/Ma
adfdlnmc-1,VSMC
adfdmofp-1,VSMC
adffjhhj-1,Monocyte
adffolok-1,RBC
adfgihad-1,RBC
adfhcdai-1,Late Myeloid
adfhlbmo-1,AEC
adfjbblo-1,Mature B
adfjpioo-1,CD8+ T-Cell
adfkiopb-1,Late Myeloid
adfneljb-1,Fibro-MSC
adfnkali-1,Pro-B
adfnkcnb-1,Pro-B
adfnmnlb-1,GMP
adfoglag-1,Pro-B
adfoldei-1,Late Myeloid
adfphnee-1,THY1+ MSC
adgcabpf-1,Neutrophil
adgdfcje-1,HSC
adgdkjeo-1,GMP
adghipel-1,GMP
adghlfnp-1,Pre-Pro B
adgjbojh-1,Neutrophil
adgmhbee-1,Cycling HSPC
adgogfcn-1,Pro-B
adgogjho-1,Early Myeloid Progenitor
adgokeln-1,CD4+ T-Cell
adgpldlf-1,AEC
adgpomal-1,Adipo-MSC
adhaekhp-1,AEC
adhakeoo-1,CD8+ T-Cell
adhbakhb-1,Neutrophil
adhbdbok-1,Ba/Eo/Ma
adhccgof-1,Pre-B
adhdcpni-1,Ba/Eo/Ma
adhefcab-1,CD4+ T-Cell
adhehggb-1,Pre-B
adhfkllp-1,Osteo-MSC
adhhhnhm-1,Osteo-MSC
adhkfmib-1,AEC
adhkjadl-1,Macrophages
adhlbmhk-1,Pre-Pro B
adhlicmp-1,CD8+ T-Cell
adhlnago-1,HSC
adhopgpm-1,Fibro-MSC
adhpegeh-1,CD4+ T-Cell
adidekog-1,Late Myeloid
adiehfaa-1,Monocyte
adiemfjp-1,CD4+ T-Cell
adihdjba-1,CD8+ T-Cell
adijceoj-1,Osteo-MSC
adikibdi-1,CD4+ T-Cell
adikifaa-1,Monocyte
adikiofg-1,Pro-B
adilcjaa-1,Ba/Eo/Ma
adillgbe-1,GMP
adimeoko-1,Fibro-MSC
adincjmh-1,VSMC
adioejba-1,CLP
adioomkj-1,SEC
adjfegba-1,HSC
adjfeknm-1,GMP
adjgpied-1,HSC
adjjnbbd-1,CLP
adjjopia-1,pDC
adjjpabg-1,RBC
adjkeiek-1,Late Myeloid
adjkknpk-1,Late Myeloid
adjlaich-1,Plasma Cell
adjlnlao-1,Late Myeloid
adjmgnib-1,CLP
adjmnjfa-1,Pre-Pro B
adjnddlm-1,Plasma Cell
adjngebl-1,CD4+ T-Cell
adjoljlk-1,Fibro-MSC
adjpcnlj-1,Ba/Eo/Ma
adjpkjlj-1,Osteo-MSC
adkagfgb-1,RBC
adkapffo-1,APOD+ MSC
adkcimff-1,Pre-Pro B
adkcncdm-1,Pre-Pro B
adkdbkgl-1,Osteo-MSC
adkdhiff-1,Plasma Cell
adkdpjbp-1,HSC
adkhhlom-1,Monocyte
adkibfho-1,Monocyte
adkidpph-1,Late Erythroid
adkjhjkc-1,Osteo-MSC
adkjicoa-1,Ba/Eo/Ma
adklbhod-1,Late Myeloid
adkmpcep-1,Mature B
adkoodjp-1,CD4+ T-Cell
adkopbbc-1,Late Myeloid
adkpaiaa-1,Plasma Cell
adkphdgb-1,Late Myeloid
adlajapn-1,Osteoblast
adlbedma-1,Pro-B
adlbhjac-1,Late Myeloid
adldbaco-1,THY1+ MSC
adlecaoh-1,Fibro-MSC
adlfkgmc-1,THY1+ MSC
adlfmgke-1,HSC
adlgpjcm-1,Pro-B
adlhfdon-1,CD8+ T-Cell
adljeenf-1,Plasma Cell
adljioff-1,Osteoblast
adlkgmhe-1,Plasma Cell
adlkmaig-1,Fibro-MSC
adllfkmm-1,pDC
adllklji-1,SEC
adlmoodb-1,Fibro-MSC
adlndkje-1,CD8+ T-Cell
adlpbalo-1,CD8+ T-Cell
adlpbebl-1,Late Myeloid
adlpccmi-1,Pro-B
admaffng-1,Fibro-MSC
admbbfbc-1,Ba/Eo/Ma
admckikl-1,RBC
admcoeja-1,Cycling HSPC
admdaghc-1,MEP
admdemdn-1,Osteo-MSC
admeglia-1,RBC
admfdkje-1,pDC
admhbakc-1,Ba/Eo/Ma
admhclch-1,APOD+ MSC
admiakol-1,CD4+ T-Cell
admihhkd-1,Osteo-MSC
admilbia-1,APOD+ MSC
admldcpe-1,Mature B
admnebdn-1,GMP
adnapobe-1,Osteo-MSC
adnbgkip-1,Plasma Cell
adnbhala-1,Cycling HSPC
adncgffj-1,Osteoblast
adndgcjl-1,AEC
adndjgeb-1,GMP
adngnpme-1,VSMC
adnialch-1,Plasma Cell
adnjjlpg-1,Plasma Cell
